,Text,Sentiment,Score
0,"🗞️ #Politics Article First Published on April 16, 2018@1:40pm  

Trump Halts Plan For More Russia Sanctions; Russia… https://t.co/nPYV1mPdjK",Neutral,1.0
1,Oh lordie how I LOVE First Past the Post #NOT #politics #ontario #OntarioVotes2018 #OntarioElection2018,Neutral,0.709
2,calling it: PC Majority. say hello to hallway surgery but at least you’ll get 20¢ off your gas! #OntarioVotes … https://t.co/FkeroleMMl,Neutral,1.0
3,"🗞️ #Politics Article First Published on May 22, 2018@2:10pm  

Goldman: Midterm Election Uncertainty Might Halt US… https://t.co/e65OiNEitu",Neutral,0.876
4,"🗞️ #Politics Article First Published on June 1, 2018@4:41pm  

4 Risky Summer Hobbies That Can Void Life Insurance

https://t.co/0SCuCUlwcv",Neutral,0.909
5,#Ohio moves toward banning hospitals from requiring nurses to work OT https://t.co/9vtmfEt6Wl @lbischoff #politics https://t.co/e43ssA7Mkb,Neutral,1.0
6,"Like, #politics aside.",Positive,0.556
7,"The Next Time a Hurricane Kills 5,000 Americans, Remember Trump's Behavior in This FEMA Meeting https://t.co/fpyciYYqUK #politics",Neutral,0.811
8,21 Quick &amp; Undeniable Facts Exposing Conspiracy Theorists ……. #conspiracy …..#politics  ……. #truth …….. #fake …….… https://t.co/KiNlko2d4s,Neutral,0.732
9,"Woot woot, PC is in. #politics",Positive,0.583
10,"How the left brainwashes your children at school. David Knight interviews liberal teacher 7 June 2018 (28'38"")… https://t.co/qDzV5oOWkV",Neutral,1.0
11,"Got a message you want to get seen? we have your signs  

#grind #politico #smallbiz  #marketing #politics #hustle https://t.co/73rbhyG8PF",Neutral,0.929
12,"🗞️ #Politics Article First Published on May 29, 2018@8:23am  

Apple Said to Have Chosen OLED for New iPhones

https://t.co/jqrr70WkAZ",Neutral,1.0
13,"Right now there are more jobs available than workers to fill them. #economy #usa #politics

https://t.co/zTe2AgbJB7",Neutral,1.0
14,"@sarahkendzior Live at @boswellbooks in Milwaukee: 

""National security has dropped the ball in regards to Russia d… https://t.co/REupyvtGsI",Neutral,0.876
15,"Those who committed gruesome crimes are also paying a terrible price in today's India!
Take your own case of… https://t.co/zRgKAPm9wc",Neutral,0.756
16,"RT @IndianExpress: Sohrabuddin case: Warrant issued against witness for failure to appear before court

https://t.co/Tt88z5qJhE",Neutral,0.809
17,RT @noconversion: Not Many People Know ... in INDIA .. We have 30 Arch Bishop and 141  Bishop ... all appointed by foreign Organizations (V…,Neutral,1.0
18,RT @MedicalSci_: Today I came here to pay my respect and homage to a great son of Mother India': Former President Dr.Pranab Mukherjee's mes…,Neutral,0.688
19,Mohan bhakwa  things that he has become Monhan bhagwan and made a connection with Allah #iftier party in Mumbai in… https://t.co/LFIUvFNkYQ,Neutral,0.876
20,"RT @sundarpichai: Very cool to hear the story of Shrinath, a porter at a train station in Cochin, India who passed the civil service exam w…",Neutral,0.899
21,"RT @htTweets: #ArjunTendulkar, son of @sachin_rt, has been included in the India U-19 squad for the tour to Sri Lanka. Another massive step…",Neutral,1.0
22,"RT @WWEXOL: [!!!] Confirmed Countries for EXO's 5th Album Worldwide G.O.

North America, Europe, Middle East, Chile, Mexico, Morocco, South…",Neutral,1.0
23,"RT @CitiznMukherjee: India's Nationhood is not 1 lang,1religion,1 https://t.co/n5hElNFwpC is Perennial Universalism of 1.3billion people wh…",Neutral,1.0
24,'Today I came here to pay my respect and homage to a great son of Mother India': Shri #PranabMukherjee's message in… https://t.co/HmMRe3Mule,Neutral,0.664
25,"RT @thota_J: AP moves from 74 to 44 on happiness Index. 

India moves from 122 to 133 on Global Happiness index .. below Pakistan , Nepal a…",Neutral,0.769
26,"RT @AsYouNotWish: You’re stupid if you think what Priyanka Chopra did is an attack on Hindu nationalists, it’s a full-fledged attack on Ind…",Neutral,0.664
27,RT @vagabondoc: @ForeignPolicy Don’t bother media in India is as much fucked up as in US: Cobrapost which carried out sting itself is sold…,Neutral,0.764
28,"RT @CitiznMukherjee: India's Nationhood is not 1 lang,1religion,1 https://t.co/n5hElNFwpC is Perennial Universalism of 1.3billion people wh…",Neutral,1.0
29,कर्नाटक: एचडी कुमारस्वामी सरकार पर संकट के बादल! मंत्री न बनाए जाने से नाराज विधायकों ने की अलग-अलग बैठक… https://t.co/tP3CyFTVma,Neutral,1.0
30,RT @Windows: @abhijeetsafai That's an impressive amount of time! 🕰 Which changes and new features have been your favorite so far?,Neutral,0.752
31,"RT @Qualcomm: Multi-day 🔋 life, lightning fast 1.2 Gigabit per second LTE — welcome to the fast, more intelligent world of 
@Windows PCs an…",Neutral,0.769
32,RT @Windows: Reef madness! Corals and the creatures that call them home come alive in this aquatic #Windows10 Theme. Dive in: https://t.co/…,Neutral,0.775
33,RT @Windows: Reef madness! Corals and the creatures that call them home come alive in this aquatic #Windows10 Theme. Dive in: https://t.co/…,Neutral,0.775
34,RT @Windows: Reef madness! Corals and the creatures that call them home come alive in this aquatic #Windows10 Theme. Dive in: https://t.co/…,Neutral,0.775
35,"RT @Qualcomm: Multi-day 🔋 life, lightning fast 1.2 Gigabit per second LTE — welcome to the fast, more intelligent world of 
@Windows PCs an…",Neutral,0.769
36,RT @Windows: Reef madness! Corals and the creatures that call them home come alive in this aquatic #Windows10 Theme. Dive in: https://t.co/…,Neutral,0.775
37,RT @Windows: Reef madness! Corals and the creatures that call them home come alive in this aquatic #Windows10 Theme. Dive in: https://t.co/…,Neutral,0.775
38,"RT @Windows: Think it, ink it, remember it. Taking notes with the digital pen and Office is intuitive, efficient, and intelligent: https://…",Neutral,0.775
39,RT @ExpertZone: Day 2 of Computex 2018 is in the books and there were a ton of new @Windows device announcements. Watch the highlights!  ht…,Neutral,1.0
40,RT @Windows: Reef madness! Corals and the creatures that call them home come alive in this aquatic #Windows10 Theme. Dive in: https://t.co/…,Neutral,0.775
41,RT @SwampyStorm445: @Windows with the new windows update (windows 1803) I can not adjust the brightness of the screen.,Neutral,0.886
42,"RT @Qualcomm: Multi-day 🔋 life, lightning fast 1.2 Gigabit per second LTE — welcome to the fast, more intelligent world of 
@Windows PCs an…",Neutral,0.769
43,RT @Windows: Reef madness! Corals and the creatures that call them home come alive in this aquatic #Windows10 Theme. Dive in: https://t.co/…,Neutral,0.775
44,RT @TechTrainerTim: Drat--I continue to forget learning how Windows Autopilot works | Simplifying IT with the latest updates from Windows A…,Neutral,0.909
45,RT @BamaStephen: Did you know that #DonaldTrump appeared in 3 “softcore” #Porn videos for #Playboy? Many of us #Conservatives knew; we told…,Neutral,1.0
46,RT @joshuapschooley: No Gays Allowed?   Seriously?  You're dealing with a demographic that traditionally has strong community ties and lots…,Neutral,0.665
47,"RT @gatewaypundit: Liberal #To Conspiracy Media Pretends to be outraged after ⁦@seanhannity⁩ tells #Trump witnesses to smash phones, acid s…",Neutral,0.672
48,"RT @theflash__8: This is from Jan2018 but very relevant::
National #Palestinian #Radio @NPR Did a #FactCheck on their useless website on #T…",Neutral,0.844
49,"RT @Technologyoffe4: How will you be voting in the upcoming #Midterms2018??

Please vote and retweet to spread poll!! #TheResistance #Trump…",Neutral,0.854
50,"RT @ToDropADime2: Think about this.
#Trump will have a more cordial meeting with the brutal Dictator #KimJongUn than he will with 100 year…",Neutral,0.837
51,"RT @pollsofpolitics: How will you be voting in the upcoming #Midterms2018??

Please vote and retweet to spread poll!! #TheResistance #Trump…",Neutral,0.854
52,RT @TheNYevening: President Donald #Trump grants clemency to #AliceJohnson  after Kim #Kardashian West involvement https://t.co/137SfxIsAl…,Neutral,0.881
53,"RT @OscarHokeah: Republicans still voted for him? Lol, 😂😂😂. I guess #trump was right about how dumb his constituents are. #FBResistance #FB…",Neutral,0.757
54,RT @DonCranston: Dear Mr President: the White House was burned by the British in retaliation for the destruction of York (now Toronto) and…,Neutral,0.769
55,"RT @LVNancy: When will the #NFL finally take their abusive players seriously? 

Social injustice, take a knee for this #ThursdayThoughts #T…",Neutral,0.639
56,RT @RealJamesWoods: The vile genocidal killers #Obama once called the “JV team” leave a legacy of horror. Eradicated in the first few month…,Neutral,0.575
57,"RT @MAGAStrong: What is your opinion of @realDonaldTrump’s tweeting?

Do vote and retweet.

As for me, the clear choice is option 2! 💪🏻🇺🇸…",Neutral,0.884
58,"RT @RealAlexJones: Undeniable proof that Obama spied on President Trump during his campaign, forcing Andrew McCabe to beg for immunity from…",Neutral,1.0
59,"RT @DaShanneStokes: If we're going to talk about emails, we need to talk about Trump companies destroying emails against court orders.

htt…",Neutral,0.854
